Model,AUC Score,Accuracy
KNN,0.9245614035087719,0.8529411764705882
Multivariate Logit,0.9245614035087719,0.8676470588235294
XGBoost,0.9192982456140352,0.8529411764705882
Random Forest,0.918421052631579,0.8676470588235294
SVM,0.9175438596491228,0.8235294117647058
