Model,AUC Score,Accuracy,Recall (Sens),Specificity,F1-Score
KNN,0.9245614035087719,0.8529411764705882,0.8,0.8947368421052632,0.8275862068965517
Multivariate Logit,0.9245614035087719,0.8676470588235294,0.9333333333333333,0.8157894736842105,0.8615384615384616
XGBoost,0.9192982456140352,0.8529411764705882,0.9,0.8157894736842105,0.84375
Random Forest,0.918421052631579,0.8676470588235294,0.8666666666666667,0.868421052631579,0.8524590163934426
SVM,0.9175438596491228,0.8235294117647058,0.7333333333333333,0.8947368421052632,0.7857142857142857
